wheel_class_name,official_wheel_name,variant_type,mapping_confidence,needs_manual_review
Alaris,Alaris,base,0.7,True
Alcatras,Alcatras,base,0.7,True
Braga,Braga,base,0.7,True
Braga_Diamond_Cut_Black,Braga,finish_variant,0.7,True
Castor,Castor,base,0.7,True
Denom,Denom,base,0.7,True
Gemini,Gemini,base,0.7,True
Hawk,Hawk,base,0.7,True
Ilias,Ilias,base,0.7,True
Mytikas,Mytikas,base,0.7,True
Mytikas_Black,Mytikas,finish_variant,0.7,True
Nivalis,Nivalis,base,0.7,True
Ratikon,Ratikon,base,0.7,True
Steel_Wheel,Steel Wheel,generic,0.5,True
Triton,Triton,base,0.7,True
Trius,Trius,base,0.7,True
Trius_Black,Trius,finish_variant,0.7,True
Turbine,Turbine,base,0.7,True
Vega,Vega,base,0.7,True
Velorum,Velorum,base,0.7,True
Xtreme,Xtreme,base,0.7,True
