fold,retrieval_mode,topn,label,count,recall@1,recall@3,recall@5
0,centroid,1,Alaris,28,0.7142857142857143,0.8571428571428571,0.9642857142857143
0,centroid,1,Alcatras,26,0.7692307692307693,0.9615384615384616,0.9615384615384616
0,centroid,1,Braga,38,0.868421052631579,0.8947368421052632,0.9473684210526315
0,centroid,1,Castor,32,0.9375,1.0,1.0
0,centroid,1,Denom,38,0.9210526315789473,0.9736842105263158,1.0
0,centroid,1,Gemini,28,0.9285714285714286,1.0,1.0
0,centroid,1,Hawk,26,0.9615384615384616,1.0,1.0
0,centroid,1,Ilias,29,0.9310344827586207,1.0,1.0
0,centroid,1,Mytikas,28,0.7857142857142857,1.0,1.0
0,centroid,1,Nivalis,23,0.8695652173913043,0.9565217391304348,1.0
0,centroid,1,Ratikon,28,0.9642857142857143,1.0,1.0
0,centroid,1,Steel_Wheel,36,1.0,1.0,1.0
0,centroid,1,Triton,54,0.9259259259259259,0.9629629629629629,0.9814814814814815
0,centroid,1,Trius,41,0.8780487804878049,0.975609756097561,1.0
0,centroid,1,Turbine,28,0.8928571428571429,0.9642857142857143,1.0
0,centroid,1,Vega,36,1.0,1.0,1.0
0,centroid,1,Velorum,60,1.0,1.0,1.0
0,centroid,1,Xtreme,38,1.0,1.0,1.0
1,centroid,1,Alaris,28,0.8571428571428571,0.9285714285714286,1.0
1,centroid,1,Alcatras,26,0.8846153846153846,1.0,1.0
1,centroid,1,Braga,38,0.868421052631579,0.9473684210526315,0.9736842105263158
1,centroid,1,Castor,32,0.90625,0.9375,1.0
1,centroid,1,Denom,38,0.7631578947368421,0.9736842105263158,0.9736842105263158
1,centroid,1,Gemini,27,0.9259259259259259,0.9629629629629629,0.9629629629629629
1,centroid,1,Hawk,26,0.9230769230769231,0.9615384615384616,1.0
1,centroid,1,Ilias,29,0.8275862068965517,0.9655172413793104,1.0
1,centroid,1,Mytikas,28,0.8214285714285714,1.0,1.0
1,centroid,1,Nivalis,22,0.6363636363636364,1.0,1.0
1,centroid,1,Ratikon,28,0.8571428571428571,1.0,1.0
1,centroid,1,Steel_Wheel,35,1.0,1.0,1.0
1,centroid,1,Triton,54,0.8888888888888888,1.0,1.0
1,centroid,1,Trius,41,0.7317073170731707,0.8780487804878049,1.0
1,centroid,1,Turbine,28,0.9642857142857143,1.0,1.0
1,centroid,1,Vega,35,0.9714285714285714,0.9714285714285714,0.9714285714285714
1,centroid,1,Velorum,59,1.0,1.0,1.0
1,centroid,1,Xtreme,38,1.0,1.0,1.0
2,centroid,1,Alaris,28,0.9285714285714286,1.0,1.0
2,centroid,1,Alcatras,26,0.7692307692307693,1.0,1.0
2,centroid,1,Braga,37,0.8108108108108109,0.9459459459459459,1.0
2,centroid,1,Castor,32,1.0,1.0,1.0
2,centroid,1,Denom,38,0.7631578947368421,0.9473684210526315,1.0
2,centroid,1,Gemini,27,0.9259259259259259,1.0,1.0
2,centroid,1,Hawk,26,0.9230769230769231,0.9230769230769231,0.9615384615384616
2,centroid,1,Ilias,29,0.8275862068965517,0.9655172413793104,0.9655172413793104
2,centroid,1,Mytikas,28,0.7142857142857143,0.9642857142857143,1.0
2,centroid,1,Nivalis,22,0.7272727272727273,0.9090909090909091,1.0
2,centroid,1,Ratikon,28,0.7857142857142857,0.9642857142857143,0.9642857142857143
2,centroid,1,Steel_Wheel,35,1.0,1.0,1.0
2,centroid,1,Triton,53,0.7924528301886793,0.9056603773584906,0.9622641509433962
2,centroid,1,Trius,41,0.7560975609756098,0.975609756097561,0.975609756097561
2,centroid,1,Turbine,28,0.8214285714285714,0.9642857142857143,1.0
2,centroid,1,Vega,35,0.9714285714285714,1.0,1.0
2,centroid,1,Velorum,59,0.9830508474576272,0.9830508474576272,1.0
2,centroid,1,Xtreme,38,0.9210526315789473,0.9473684210526315,1.0
3,centroid,1,Alaris,27,0.8148148148148148,0.8888888888888888,0.8888888888888888
3,centroid,1,Alcatras,26,0.7692307692307693,0.8461538461538461,1.0
3,centroid,1,Braga,37,0.6486486486486487,0.8648648648648649,0.972972972972973
3,centroid,1,Castor,32,0.9375,1.0,1.0
3,centroid,1,Denom,37,0.8648648648648649,1.0,1.0
3,centroid,1,Gemini,27,0.9259259259259259,1.0,1.0
3,centroid,1,Hawk,25,1.0,1.0,1.0
3,centroid,1,Ilias,29,0.8620689655172413,0.9655172413793104,1.0
3,centroid,1,Mytikas,27,0.5925925925925926,0.9629629629629629,1.0
3,centroid,1,Nivalis,22,0.7727272727272727,0.9545454545454546,1.0
3,centroid,1,Ratikon,28,0.8571428571428571,1.0,1.0
3,centroid,1,Steel_Wheel,35,0.9714285714285714,0.9714285714285714,1.0
3,centroid,1,Triton,53,0.8679245283018868,0.9433962264150944,0.9811320754716981
3,centroid,1,Trius,40,0.75,0.975,1.0
3,centroid,1,Turbine,27,0.8518518518518519,1.0,1.0
3,centroid,1,Vega,35,0.9714285714285714,0.9714285714285714,0.9714285714285714
3,centroid,1,Velorum,59,0.9830508474576272,0.9830508474576272,1.0
3,centroid,1,Xtreme,38,0.9736842105263158,1.0,1.0
4,centroid,1,Alaris,27,0.7407407407407407,1.0,1.0
4,centroid,1,Alcatras,26,0.8076923076923077,0.9615384615384616,1.0
4,centroid,1,Braga,37,0.8648648648648649,1.0,1.0
4,centroid,1,Castor,31,0.967741935483871,0.967741935483871,0.967741935483871
4,centroid,1,Denom,37,0.918918918918919,1.0,1.0
4,centroid,1,Gemini,27,0.8148148148148148,0.9259259259259259,0.9629629629629629
4,centroid,1,Hawk,25,1.0,1.0,1.0
4,centroid,1,Ilias,28,0.8928571428571429,1.0,1.0
4,centroid,1,Mytikas,27,0.7777777777777778,1.0,1.0
4,centroid,1,Nivalis,22,0.8636363636363636,1.0,1.0
4,centroid,1,Ratikon,27,0.9259259259259259,1.0,1.0
4,centroid,1,Steel_Wheel,35,1.0,1.0,1.0
4,centroid,1,Triton,53,0.8301886792452831,0.8867924528301887,0.9433962264150944
4,centroid,1,Trius,40,0.775,1.0,1.0
4,centroid,1,Turbine,27,0.8148148148148148,1.0,1.0
4,centroid,1,Vega,35,0.9714285714285714,1.0,1.0
4,centroid,1,Velorum,59,0.9830508474576272,0.9830508474576272,1.0
4,centroid,1,Xtreme,38,1.0,1.0,1.0
